S,Size,AvgTime,AvgComparisons
2,10000000,0.596532961,220048063
3,10000000,0.547501305,220046649
4,10000000,0.527949559,220167576
5,10000000,0.473344248,221049659
6,10000000,0.472200302,221049659
7,10000000,0.471457619,221049659
8,10000000,0.470727275,221049659
9,10000000,0.453165044,223086858
10,10000000,0.425961703,226347497
11,10000000,0.427560463,226347497
12,10000000,0.426149461,226347497
13,10000000,0.427524117,226347497
14,10000000,0.425680544,226347497
15,10000000,0.424046515,226347497
16,10000000,0.425159064,226347497
17,10000000,0.427979548,226347497
18,10000000,0.425482524,226347497
19,10000000,0.388616915,240907695
20,10000000,0.381527093,242218266
21,10000000,0.381196156,242218266
22,10000000,0.378092569,242218266
23,10000000,0.381484859,242218266
24,10000000,0.381884736,242218266
25,10000000,0.380695427,242218266
26,10000000,0.381708597,242218266
27,10000000,0.380506444,242218266
28,10000000,0.380464097,242218266
29,10000000,0.380927630,242218266
30,10000000,0.378977152,242218266
31,10000000,0.379353751,242218266
32,10000000,0.381233664,242218266
33,10000000,0.378395660,242218266
34,10000000,0.385077731,242218266
35,10000000,0.379096139,242218266
36,10000000,0.380314749,242218266
37,10000000,0.380367153,242218266
38,10000000,0.388225180,275109311
39,10000000,0.379073287,281103626
40,10000000,0.378764288,281103626
41,10000000,0.382504546,281103626
42,10000000,0.381992543,281103626
43,10000000,0.382122784,281103626
44,10000000,0.380880998,281103626
45,10000000,0.383355064,281103626
46,10000000,0.382516511,281103626
47,10000000,0.380776351,281103626
48,10000000,0.380520939,281103626
49,10000000,0.382387520,281103626
50,10000000,0.385590838,281103626
51,10000000,0.383204583,281103626
52,10000000,0.387380179,281103626
53,10000000,0.381714781,281103626
54,10000000,0.379789322,281103626
55,10000000,0.384181291,281103626
56,10000000,0.382415546,281103626
57,10000000,0.385004049,281103626
58,10000000,0.381228088,281103626
59,10000000,0.379475995,281103626
60,10000000,0.382388944,281103626
61,10000000,0.382831587,281103626
62,10000000,0.383026174,281103626
63,10000000,0.380064398,281103626
64,10000000,0.381719039,281103626
65,10000000,0.381279730,281103626
66,10000000,0.382293556,281103626
67,10000000,0.381533841,281103626
68,10000000,0.381000424,281103626
69,10000000,0.380381331,281103626
70,10000000,0.381462969,281103626
71,10000000,0.382185366,281103626
72,10000000,0.380239531,281103626
73,10000000,0.384580488,281103626
74,10000000,0.384808358,281103626
75,10000000,0.383992793,281103626
76,10000000,0.408506981,341320898
77,10000000,0.419192985,367090130
78,10000000,0.418549490,367090130
79,10000000,0.417485798,367090130
80,10000000,0.416785629,367090130
81,10000000,0.419626668,367090130
82,10000000,0.417488908,367090130
83,10000000,0.417671705,367090130
84,10000000,0.418552986,367090130
85,10000000,0.416097462,367090130
86,10000000,0.417328738,367090130
87,10000000,0.417753735,367090130
88,10000000,0.418711030,367090130
89,10000000,0.416260574,367090130
90,10000000,0.416312656,367090130
91,10000000,0.419208473,367090130
92,10000000,0.419536716,367090130
93,10000000,0.417959909,367090130
94,10000000,0.421102274,367090130
95,10000000,0.421252618,367090130
96,10000000,0.418320444,367090130
97,10000000,0.417283416,367090130
98,10000000,0.416191206,367090130
99,10000000,0.417860217,367090130
100,10000000,0.417271188,367090130
101,10000000,0.417352298,367090130
102,10000000,0.418218573,367090130
103,10000000,0.419625256,367090130
104,10000000,0.417919189,367090130
105,10000000,0.417557364,367090130
106,10000000,0.418600343,367090130
107,10000000,0.418808239,367090130
108,10000000,0.417435317,367090130
109,10000000,0.417295275,367090130
110,10000000,0.418030536,367090130
111,10000000,0.417021398,367090130
112,10000000,0.417338617,367090130
113,10000000,0.421112009,367090130
114,10000000,0.417020496,367090130
115,10000000,0.419019826,367090130
116,10000000,0.416250631,367090130
117,10000000,0.417028778,367090130
118,10000000,0.417243110,367090130
119,10000000,0.418387510,367090130
120,10000000,0.417385245,367090130
121,10000000,0.418432959,367090130
122,10000000,0.420299662,367090130
123,10000000,0.416930334,367090130
124,10000000,0.416305601,367090130
125,10000000,0.419754725,367090130
126,10000000,0.417330857,367090130
127,10000000,0.419665721,367090130
128,10000000,0.416461347,367090130
129,10000000,0.416905502,367090130
130,10000000,0.416896276,367090130
131,10000000,0.417506903,367090130
132,10000000,0.417128382,367090130
133,10000000,0.421494718,367090130
134,10000000,0.417620392,367090130
135,10000000,0.415952824,367090130
136,10000000,0.415793772,367090130
137,10000000,0.416884110,367090130
138,10000000,0.416607311,367090130
139,10000000,0.417253710,367090130
140,10000000,0.418536563,367090130
141,10000000,0.416362071,367090130
142,10000000,0.415737532,367090130
143,10000000,0.417427151,367090130
144,10000000,0.416716058,367090130
145,10000000,0.416065205,367090130
146,10000000,0.416333429,367090130
147,10000000,0.418139500,367090130
148,10000000,0.416358673,367090130
149,10000000,0.418283272,367090130
150,10000000,0.419899635,367090130
