S,Size,AvgTime,AvgComparisons
2,100000,0.005828159,1536149
3,100000,0.004840312,1536194
4,100000,0.004847773,1536626
5,100000,0.004573878,1536626
6,100000,0.004290372,1554370
7,100000,0.004047264,1557575
8,100000,0.004083016,1557575
9,100000,0.004051092,1557575
10,100000,0.004066726,1557575
11,100000,0.004062676,1557575
12,100000,0.003751274,1619110
13,100000,0.003654686,1638778
14,100000,0.003610792,1638778
15,100000,0.003558000,1638778
16,100000,0.003604622,1638778
17,100000,0.003643766,1638778
18,100000,0.003564076,1638778
19,100000,0.003509142,1638778
20,100000,0.003525658,1638778
21,100000,0.003579166,1638778
22,100000,0.003527712,1638778
23,100000,0.003595634,1638778
24,100000,0.003566454,1764351
25,100000,0.003308422,1861305
26,100000,0.003307917,1861305
27,100000,0.003404269,1861305
28,100000,0.003314098,1861305
29,100000,0.003378450,1861305
30,100000,0.003325601,1861305
31,100000,0.003304148,1861305
32,100000,0.003311174,1861305
33,100000,0.003478644,1861305
34,100000,0.003310992,1861305
35,100000,0.003477825,1861305
36,100000,0.003471688,1861305
37,100000,0.003300449,1861305
38,100000,0.003301771,1861305
39,100000,0.003401169,1861305
40,100000,0.003430491,1861305
41,100000,0.003499312,1861305
42,100000,0.003341896,1861305
43,100000,0.003521526,1861305
44,100000,0.003299493,1861305
45,100000,0.003401070,1861305
46,100000,0.003338022,1861305
47,100000,0.003410811,1861305
48,100000,0.003519726,1947064
49,100000,0.003511066,2381096
50,100000,0.003514100,2381096
51,100000,0.003542748,2381096
52,100000,0.003521956,2381096
53,100000,0.003522160,2381096
54,100000,0.003683984,2381096
55,100000,0.003539078,2381096
56,100000,0.003522586,2381096
57,100000,0.003546922,2381096
58,100000,0.003687904,2381096
59,100000,0.003589327,2381096
60,100000,0.003526612,2381096
61,100000,0.003528398,2381096
62,100000,0.003599570,2381096
63,100000,0.003565496,2381096
64,100000,0.003663754,2381096
65,100000,0.003602916,2381096
66,100000,0.003683320,2381096
67,100000,0.003621762,2381096
68,100000,0.003582500,2381096
69,100000,0.003617571,2381096
70,100000,0.003524528,2381096
71,100000,0.003543132,2381096
72,100000,0.003525636,2381096
73,100000,0.003614628,2381096
74,100000,0.003525220,2381096
75,100000,0.003526904,2381096
76,100000,0.003529870,2381096
77,100000,0.003703716,2381096
78,100000,0.003572722,2381096
79,100000,0.003533702,2381096
80,100000,0.003572718,2381096
81,100000,0.003528302,2381096
82,100000,0.003735632,2381096
83,100000,0.003684632,2381096
84,100000,0.003604553,2381096
85,100000,0.003530112,2381096
86,100000,0.003602676,2381096
87,100000,0.003530540,2381096
88,100000,0.003534202,2381096
89,100000,0.003537508,2381096
90,100000,0.003742558,2381096
91,100000,0.003633718,2381096
92,100000,0.003527592,2381096
93,100000,0.003519645,2381096
94,100000,0.003521340,2381096
95,100000,0.003581766,2381096
96,100000,0.003538569,2381096
97,100000,0.003784426,2760793
98,100000,0.003868980,3507944
99,100000,0.003874010,3507944
100,100000,0.003946628,3507944
101,100000,0.003863278,3507944
102,100000,0.003899998,3507944
103,100000,0.003922502,3507944
104,100000,0.003875620,3507944
105,100000,0.003975882,3507944
106,100000,0.003865054,3507944
107,100000,0.003861872,3507944
108,100000,0.003873904,3507944
109,100000,0.003858702,3507944
110,100000,0.003916572,3507944
111,100000,0.003871324,3507944
112,100000,0.003894936,3507944
113,100000,0.003873902,3507944
114,100000,0.003861386,3507944
115,100000,0.003859188,3507944
116,100000,0.004106348,3507944
117,100000,0.003880590,3507944
118,100000,0.003862810,3507944
119,100000,0.003870002,3507944
120,100000,0.003940240,3507944
121,100000,0.003852420,3507944
122,100000,0.003856380,3507944
123,100000,0.003861016,3507944
124,100000,0.004045508,3507944
125,100000,0.003908214,3507944
126,100000,0.003908974,3507944
127,100000,0.004020624,3507944
128,100000,0.003884158,3507944
129,100000,0.003894442,3507944
130,100000,0.003996748,3507944
131,100000,0.003923894,3507944
132,100000,0.003857356,3507944
133,100000,0.003857474,3507944
134,100000,0.004049900,3507944
135,100000,0.003894156,3507944
136,100000,0.003877558,3507944
137,100000,0.003965326,3507944
138,100000,0.003925258,3507944
139,100000,0.004015772,3507944
140,100000,0.003873098,3507944
141,100000,0.003861932,3507944
142,100000,0.003865068,3507944
143,100000,0.003938930,3507944
144,100000,0.003875676,3507944
145,100000,0.003864834,3507944
146,100000,0.003871278,3507944
147,100000,0.003855852,3507944
148,100000,0.003881502,3507944
149,100000,0.003900798,3507944
150,100000,0.003869274,3507944
