S,Size,AvgTime,AvgComparisons
2,2500000,0.145253213,50015655
3,2500000,0.132229604,50015095
4,2500000,0.127414769,50045257
5,2500000,0.114142608,50265603
6,2500000,0.114114356,50265603
7,2500000,0.114430437,50265603
8,2500000,0.114021391,50265603
9,2500000,0.109098031,50775068
10,2500000,0.103054554,51589299
11,2500000,0.102451155,51589299
12,2500000,0.102913646,51589299
13,2500000,0.102715830,51589299
14,2500000,0.102485337,51589299
15,2500000,0.102770344,51589299
16,2500000,0.102614305,51589299
17,2500000,0.103093448,51589299
18,2500000,0.102331085,51589299
19,2500000,0.093503851,55234162
20,2500000,0.091110421,55562133
21,2500000,0.091120061,55562133
22,2500000,0.091374031,55562133
23,2500000,0.090885870,55562133
24,2500000,0.091256939,55562133
25,2500000,0.090891388,55562133
26,2500000,0.091458451,55562133
27,2500000,0.091217829,55562133
28,2500000,0.091264753,55562133
29,2500000,0.090941813,55562133
30,2500000,0.091154959,55562133
31,2500000,0.090524674,55562133
32,2500000,0.090810986,55562133
33,2500000,0.090544750,55562133
34,2500000,0.090923914,55562133
35,2500000,0.091461547,55562133
36,2500000,0.091454933,55562133
37,2500000,0.090606806,55562133
38,2500000,0.092268379,63783603
39,2500000,0.091091093,65281706
40,2500000,0.091408457,65281706
41,2500000,0.091052443,65281706
42,2500000,0.090926662,65281706
43,2500000,0.090975942,65281706
44,2500000,0.091550633,65281706
45,2500000,0.091331806,65281706
46,2500000,0.090675728,65281706
47,2500000,0.091055666,65281706
48,2500000,0.091233231,65281706
49,2500000,0.091047952,65281706
50,2500000,0.091058559,65281706
51,2500000,0.091125759,65281706
52,2500000,0.091165525,65281706
53,2500000,0.091033273,65281706
54,2500000,0.090871606,65281706
55,2500000,0.091518681,65281706
56,2500000,0.091353531,65281706
57,2500000,0.091069121,65281706
58,2500000,0.090765096,65281706
59,2500000,0.090928048,65281706
60,2500000,0.091164371,65281706
61,2500000,0.090808474,65281706
62,2500000,0.090965678,65281706
63,2500000,0.091095139,65281706
64,2500000,0.091786434,65281706
65,2500000,0.091413516,65281706
66,2500000,0.091249057,65281706
67,2500000,0.091155417,65281706
68,2500000,0.091124511,65281706
69,2500000,0.091233409,65281706
70,2500000,0.091424487,65281706
71,2500000,0.091286369,65281706
72,2500000,0.091184353,65281706
73,2500000,0.090981493,65281706
74,2500000,0.091079567,65281706
75,2500000,0.090981748,65281706
76,2500000,0.098367316,80337468
77,2500000,0.100394497,86784649
78,2500000,0.100446848,86784649
79,2500000,0.100351724,86784649
80,2500000,0.100298273,86784649
81,2500000,0.100346129,86784649
82,2500000,0.100697332,86784649
83,2500000,0.100322563,86784649
84,2500000,0.100331453,86784649
85,2500000,0.100561252,86784649
86,2500000,0.100267839,86784649
87,2500000,0.100285365,86784649
88,2500000,0.100447307,86784649
89,2500000,0.100236409,86784649
90,2500000,0.100195319,86784649
91,2500000,0.100363971,86784649
92,2500000,0.100311953,86784649
93,2500000,0.100718294,86784649
94,2500000,0.100387921,86784649
95,2500000,0.100242529,86784649
96,2500000,0.100249729,86784649
97,2500000,0.100332933,86784649
98,2500000,0.100188585,86784649
99,2500000,0.100395477,86784649
100,2500000,0.100236427,86784649
101,2500000,0.100418847,86784649
102,2500000,0.100452108,86784649
103,2500000,0.100343205,86784649
104,2500000,0.100461043,86784649
105,2500000,0.100195507,86784649
106,2500000,0.100441367,86784649
107,2500000,0.100262457,86784649
108,2500000,0.100314885,86784649
109,2500000,0.100492671,86784649
110,2500000,0.100364345,86784649
111,2500000,0.100604529,86784649
112,2500000,0.100392405,86784649
113,2500000,0.100310911,86784649
114,2500000,0.100177437,86784649
115,2500000,0.100115722,86784649
116,2500000,0.100270838,86784649
117,2500000,0.100133892,86784649
118,2500000,0.100403463,86784649
119,2500000,0.100221140,86784649
120,2500000,0.100142732,86784649
121,2500000,0.100291883,86784649
122,2500000,0.100684677,86784649
123,2500000,0.100499509,86784649
124,2500000,0.100397613,86784649
125,2500000,0.100322919,86784649
126,2500000,0.100362859,86784649
127,2500000,0.100318319,86784649
128,2500000,0.100215209,86784649
129,2500000,0.100513723,86784649
130,2500000,0.100222766,86784649
131,2500000,0.100273897,86784649
132,2500000,0.100266411,86784649
133,2500000,0.100234520,86784649
134,2500000,0.100942002,86784649
135,2500000,0.100420569,86784649
136,2500000,0.100323937,86784649
137,2500000,0.100296473,86784649
138,2500000,0.100682659,86784649
139,2500000,0.100284307,86784649
140,2500000,0.100344513,86784649
141,2500000,0.100250639,86784649
142,2500000,0.100921280,86784649
143,2500000,0.100481093,86784649
144,2500000,0.100143650,86784649
145,2500000,0.100178950,86784649
146,2500000,0.100158566,86784649
147,2500000,0.100378635,86784649
148,2500000,0.100634929,86784649
149,2500000,0.100139893,86784649
150,2500000,0.100112706,86784649
