S,Size,AvgTime,AvgComparisons
2,2500,0.000146200,25121
3,2500,0.000117508,25130
4,2500,0.000122408,25146
5,2500,0.000097178,25395
6,2500,0.000096794,25395
7,2500,0.000085914,25395
8,2500,0.000091570,25395
9,2500,0.000096668,25643
10,2500,0.000079352,26740
11,2500,0.000075336,26740
12,2500,0.000091592,26740
13,2500,0.000095398,26740
14,2500,0.000084148,26740
15,2500,0.000075388,26740
16,2500,0.000076280,26740
17,2500,0.000083410,26740
18,2500,0.000074886,26740
19,2500,0.000079540,28518
20,2500,0.000085362,30832
21,2500,0.000078282,30832
22,2500,0.000075048,30832
23,2500,0.000078830,30832
24,2500,0.000086632,30832
25,2500,0.000070654,30832
26,2500,0.000087254,30832
27,2500,0.000085714,30832
28,2500,0.000081882,30832
29,2500,0.000080788,30832
30,2500,0.000077258,30832
31,2500,0.000089524,30832
32,2500,0.000074834,30832
33,2500,0.000072876,30832
34,2500,0.000069350,30832
35,2500,0.000087918,30832
36,2500,0.000077364,30832
37,2500,0.000068582,30832
38,2500,0.000084084,30832
39,2500,0.000084484,39977
40,2500,0.000071780,40666
41,2500,0.000081686,40666
42,2500,0.000089100,40666
43,2500,0.000082568,40666
44,2500,0.000082416,40666
45,2500,0.000069840,40666
46,2500,0.000072246,40666
47,2500,0.000082624,40666
48,2500,0.000073498,40666
49,2500,0.000101108,40666
50,2500,0.000089182,40666
51,2500,0.000084608,40666
52,2500,0.000085848,40666
53,2500,0.000084868,40666
54,2500,0.000070266,40666
55,2500,0.000086388,40666
56,2500,0.000085804,40666
57,2500,0.000088172,40666
58,2500,0.000081696,40666
59,2500,0.000072284,40666
60,2500,0.000094008,40666
61,2500,0.000077284,40666
62,2500,0.000080086,40666
63,2500,0.000076750,40666
64,2500,0.000079124,40666
65,2500,0.000095778,40666
66,2500,0.000076224,40666
67,2500,0.000079242,40666
68,2500,0.000093636,40666
69,2500,0.000071544,40666
70,2500,0.000080382,40666
71,2500,0.000071142,40666
72,2500,0.000075262,40666
73,2500,0.000091368,40666
74,2500,0.000090002,40666
75,2500,0.000094468,40666
76,2500,0.000087972,40666
77,2500,0.000080288,40666
78,2500,0.000087122,60049
79,2500,0.000090196,62856
80,2500,0.000089812,62856
81,2500,0.000095830,62856
82,2500,0.000096774,62856
83,2500,0.000091642,62856
84,2500,0.000094352,62856
85,2500,0.000086908,62856
86,2500,0.000099380,62856
87,2500,0.000091330,62856
88,2500,0.000103764,62856
89,2500,0.000093616,62856
90,2500,0.000078080,62856
91,2500,0.000083716,62856
92,2500,0.000086118,62856
93,2500,0.000089802,62856
94,2500,0.000078090,62856
95,2500,0.000105666,62856
96,2500,0.000092092,62856
97,2500,0.000096566,62856
98,2500,0.000077964,62856
99,2500,0.000087934,62856
100,2500,0.000079922,62856
101,2500,0.000095208,62856
102,2500,0.000086112,62856
103,2500,0.000092504,62856
104,2500,0.000091080,62856
105,2500,0.000081402,62856
106,2500,0.000090426,62856
107,2500,0.000087342,62856
108,2500,0.000080206,62856
109,2500,0.000089426,62856
110,2500,0.000097950,62856
111,2500,0.000089924,62856
112,2500,0.000097338,62856
113,2500,0.000093696,62856
114,2500,0.000085354,62856
115,2500,0.000087436,62856
116,2500,0.000090520,62856
117,2500,0.000077752,62856
118,2500,0.000080562,62856
119,2500,0.000080756,62856
120,2500,0.000077788,62856
121,2500,0.000078108,62856
122,2500,0.000095090,62856
123,2500,0.000094598,62856
124,2500,0.000079696,62856
125,2500,0.000107990,62856
126,2500,0.000080844,62856
127,2500,0.000079846,62856
128,2500,0.000112492,62856
129,2500,0.000081050,62856
130,2500,0.000093732,62856
131,2500,0.000093998,62856
132,2500,0.000083556,62856
133,2500,0.000107702,62856
134,2500,0.000078222,62856
135,2500,0.000087602,62856
136,2500,0.000098970,62856
137,2500,0.000086670,62856
138,2500,0.000097292,62856
139,2500,0.000080916,62856
140,2500,0.000089930,62856
141,2500,0.000091814,62856
142,2500,0.000093968,62856
143,2500,0.000077970,62856
144,2500,0.000091596,62856
145,2500,0.000096972,62856
146,2500,0.000086242,62856
147,2500,0.000079926,62856
148,2500,0.000094778,62856
149,2500,0.000092242,62856
150,2500,0.000102364,62856
