S,Size,AvgTime,AvgComparisons
2,5000000,0.294862367,105027119
3,5000000,0.266587293,105026298
4,5000000,0.259783729,105086310
5,5000000,0.231277358,105527835
6,5000000,0.232372886,105527835
7,5000000,0.231458483,105527835
8,5000000,0.231251638,105527835
9,5000000,0.221006702,106545731
10,5000000,0.208100155,108176318
11,5000000,0.208053582,108176318
12,5000000,0.207769505,108176318
13,5000000,0.207507924,108176318
14,5000000,0.208369781,108176318
15,5000000,0.207530076,108176318
16,5000000,0.208181653,108176318
17,5000000,0.208827030,108176318
18,5000000,0.208848828,108176318
19,5000000,0.187376274,115455695
20,5000000,0.184508567,116110663
21,5000000,0.184395389,116110663
22,5000000,0.183665068,116110663
23,5000000,0.185139422,116110663
24,5000000,0.183683740,116110663
25,5000000,0.185848026,116110663
26,5000000,0.184782368,116110663
27,5000000,0.185112352,116110663
28,5000000,0.187526382,116110663
29,5000000,0.185755051,116110663
30,5000000,0.184021534,116110663
31,5000000,0.183762000,116110663
32,5000000,0.184101764,116110663
33,5000000,0.185251704,116110663
34,5000000,0.184896384,116110663
35,5000000,0.183987612,116110663
36,5000000,0.185972564,116110663
37,5000000,0.185395633,116110663
38,5000000,0.187498420,132551808
39,5000000,0.185228102,135550282
40,5000000,0.185160480,135550282
41,5000000,0.184735268,135550282
42,5000000,0.184915924,135550282
43,5000000,0.185203242,135550282
44,5000000,0.184964382,135550282
45,5000000,0.184951364,135550282
46,5000000,0.185140730,135550282
47,5000000,0.185278603,135550282
48,5000000,0.185329513,135550282
49,5000000,0.185853412,135550282
50,5000000,0.185464121,135550282
51,5000000,0.185234189,135550282
52,5000000,0.184900436,135550282
53,5000000,0.185352171,135550282
54,5000000,0.185613045,135550282
55,5000000,0.184531209,135550282
56,5000000,0.184741744,135550282
57,5000000,0.184817658,135550282
58,5000000,0.185580475,135550282
59,5000000,0.184727308,135550282
60,5000000,0.185490871,135550282
61,5000000,0.185067586,135550282
62,5000000,0.184903564,135550282
63,5000000,0.185286271,135550282
64,5000000,0.185009506,135550282
65,5000000,0.184672065,135550282
66,5000000,0.185929418,135550282
67,5000000,0.185050092,135550282
68,5000000,0.185235239,135550282
69,5000000,0.187423516,135550282
70,5000000,0.189038969,135550282
71,5000000,0.186084210,135550282
72,5000000,0.187186524,135550282
73,5000000,0.186113158,135550282
74,5000000,0.187103058,135550282
75,5000000,0.185690211,135550282
76,5000000,0.200213439,165669803
77,5000000,0.204117641,178559688
78,5000000,0.203971760,178559688
79,5000000,0.203106473,178559688
80,5000000,0.203607110,178559688
81,5000000,0.203119153,178559688
82,5000000,0.204488801,178559688
83,5000000,0.204279743,178559688
84,5000000,0.203449889,178559688
85,5000000,0.203262615,178559688
86,5000000,0.203243101,178559688
87,5000000,0.203414487,178559688
88,5000000,0.203306517,178559688
89,5000000,0.205625151,178559688
90,5000000,0.204933792,178559688
91,5000000,0.204715061,178559688
92,5000000,0.205997996,178559688
93,5000000,0.205387445,178559688
94,5000000,0.203606529,178559688
95,5000000,0.204089045,178559688
96,5000000,0.204038964,178559688
97,5000000,0.204649660,178559688
98,5000000,0.203990888,178559688
99,5000000,0.203807094,178559688
100,5000000,0.203625505,178559688
101,5000000,0.203423565,178559688
102,5000000,0.203547603,178559688
103,5000000,0.205194066,178559688
104,5000000,0.203429683,178559688
105,5000000,0.203694284,178559688
106,5000000,0.204671564,178559688
107,5000000,0.203929492,178559688
108,5000000,0.204367271,178559688
109,5000000,0.203405897,178559688
110,5000000,0.205003122,178559688
111,5000000,0.203571983,178559688
112,5000000,0.203414857,178559688
113,5000000,0.204315691,178559688
114,5000000,0.203598962,178559688
115,5000000,0.203792038,178559688
116,5000000,0.203591748,178559688
117,5000000,0.204787746,178559688
118,5000000,0.203491005,178559688
119,5000000,0.204238700,178559688
120,5000000,0.203536947,178559688
121,5000000,0.204031760,178559688
122,5000000,0.203662790,178559688
123,5000000,0.204053994,178559688
124,5000000,0.203234489,178559688
125,5000000,0.204557336,178559688
126,5000000,0.204152795,178559688
127,5000000,0.203382595,178559688
128,5000000,0.204004644,178559688
129,5000000,0.203404719,178559688
130,5000000,0.204175743,178559688
131,5000000,0.203880766,178559688
132,5000000,0.203098862,178559688
133,5000000,0.204255150,178559688
134,5000000,0.204113651,178559688
135,5000000,0.203282359,178559688
136,5000000,0.204078201,178559688
137,5000000,0.203434885,178559688
138,5000000,0.203269491,178559688
139,5000000,0.203774946,178559688
140,5000000,0.203396131,178559688
141,5000000,0.203668140,178559688
142,5000000,0.203187743,178559688
143,5000000,0.204471165,178559688
144,5000000,0.203749538,178559688
145,5000000,0.203150579,178559688
146,5000000,0.204061328,178559688
147,5000000,0.205008418,178559688
148,5000000,0.204531362,178559688
149,5000000,0.204524754,178559688
150,5000000,0.203963366,178559688
