type,v_count,e_count,matrix_avg_time,heap_avg_time,matrix_avg_operations,heap_avg_operations
sparse,1000,999,0.15002419501543046,0.0009206661954522133,2003997.0,6995.0
sparse,2000,1999,0.607036086730659,0.001995233632624149,8007997.0,13995.0
sparse,3000,2999,1.3893105678260327,0.00320816095918417,18011997.0,20995.0
sparse,4000,3999,2.456047054566443,0.005932515114545822,32015997.0,27995.0
sparse,5000,4999,3.8482441207394005,0.005744379572570324,50019997.0,34995.0
sparse,6000,5999,5.548439330793917,0.00740620270371437,72023997.0,41995.0
sparse,7000,6999,7.5545153427869085,0.009632321447134018,98027997.0,48995.0
sparse,8000,7999,9.911234519816935,0.04305274244397879,128031997.0,55995.0
sparse,9000,8999,12.544489031285048,0.014249110594391823,162035997.0,62995.0
sparse,10000,9999,15.506503491476177,0.024739490635693074,200039997.0,69995.0
dense,1000,499500,0.16705653350800276,0.14378992673009633,2505786.4,1010569.4
dense,2000,1999000,0.6774381829425693,0.6673946667462587,10011506.2,4021161.8
dense,3000,4498500,1.5276022359728814,1.541173916682601,22517321.4,9031644.6
dense,4000,7998000,2.748321371525526,2.8372815715149047,40023164.6,16042377.4
dense,5000,12497500,4.3039311490952965,4.572372479736805,62528936.4,25052822.2
dense,6000,17997000,6.149983654543758,6.562166557088494,90034820.2,36063443.0
dense,7000,24496500,8.382045469991862,9.236310555413365,122540545.4,49074175.8
dense,8000,31996000,10.95569283105433,12.674720688536762,160046344.2,64084802.6
dense,9000,40495500,13.94988134931773,16.19304893799126,202552036.2,81095076.2
dense,10000,49995000,17.158257887512445,19.535936354659498,250057974.2,100105836.6
fixed_v,10000,9999,15.5101557623595,0.01623120978474617,200039997.0,69995.0
fixed_v,10000,5563888,16.055769927985967,3.2451054217293858,205627318.0,11244969.0
fixed_v,10000,11117777,16.056363006681202,5.5902164276689295,211184863.0,22359635.0
fixed_v,10000,16671666,16.607649362646043,7.893475646339357,216738388.0,33466805.0
fixed_v,10000,22225555,17.443800672329964,10.121668729186059,222291869.0,44574051.0
fixed_v,10000,27779444,17.82359619922936,11.928257643058895,227845078.0,55680725.0
fixed_v,10000,33333333,18.014210272952916,14.395319236069918,233397907.0,66785639.0
fixed_v,10000,38887222,18.166807396151125,16.676749110221863,238951174.0,77892753.0
fixed_v,10000,44441111,17.915613879449666,18.116336449049413,244504557.0,88999111.0
fixed_v,10000,49995000,17.209469839371742,19.788298671878874,250058056.0,100106545.0
