type,v_count,e_count,matrix_avg_time,heap_avg_time,matrix_avg_operations,heap_avg_operations
sparse,100,99,0.001402401533535643,7.734686660114676e-05,20397.0,695.0
sparse,200,199,0.005638627999724121,0.00016228813304527043,80797.0,1395.0
sparse,300,299,0.012685253867069453,0.00024686926699359903,181197.0,2095.0
sparse,400,399,0.02375344253317356,0.00038438086691409506,321597.0,2795.0
sparse,500,499,0.03795830766648578,0.0004852550335878429,501997.0,3495.0
sparse,600,599,0.05551006406652353,0.0006125576997874305,722397.0,4195.0
sparse,700,699,0.07592159989993282,0.0007313422002577379,982797.0,4895.0
sparse,800,799,0.09918343653334886,0.0008234365001650682,1283197.0,5595.0
sparse,900,899,0.12709695656691716,0.0009413667663466186,1623597.0,6295.0
sparse,1000,999,0.15659318553334742,0.001044315000641897,2003997.0,6995.0
dense,100,4950,0.0015879491997717802,0.0009198157667318203,25525.866666666665,10957.0
dense,200,19900,0.006222001766824785,0.003458035133614127,101108.86666666667,42018.066666666666
dense,300,44850,0.014154324266201002,0.008011417766829254,226715.0,93121.4
dense,400,79800,0.02593570380025388,0.015098238033654827,402296.13333333336,164192.33333333334
dense,500,124750,0.04122507129965622,0.027789416033435068,627886.8,255271.8
dense,600,179700,0.0604975330332915,0.049899512899840674,903453.6,366317.5333333333
dense,700,244650,0.08322767290010233,0.07332378276672293,1229040.8666666667,497391.26666666666
dense,800,319600,0.10837171816686654,0.09252097123329198,1604598.2666666666,648409.9333333333
dense,900,404550,0.13762462039994716,0.11757119430039893,2030204.2666666666,819471.5333333333
dense,1000,499500,0.17120979226698788,0.1487965744670267,2505788.2666666666,1010584.6
fixed_v,1000,999,0.16030575739981334,0.0010103395331195013,2003997.0,6995.0
fixed_v,1000,56388,0.16357954823348944,0.016958831300022816,2062466.0,123817.0
fixed_v,1000,111777,0.17063676753326337,0.033541600166427085,2117741.0,234643.0
fixed_v,1000,167166,0.1759924263669139,0.048301433633241686,2173344.0,345617.0
fixed_v,1000,222555,0.17958610399994843,0.06578649599990362,2229011.0,457083.0
fixed_v,1000,277944,0.18223460593338434,0.08028974073325419,2284500.0,567689.0
fixed_v,1000,333333,0.18398352509999918,0.09821296883334678,2339819.0,678743.0
fixed_v,1000,388722,0.18202219843321168,0.11512798686611253,2395186.0,789193.0
fixed_v,1000,444111,0.1779241221332389,0.12993512633317247,2450493.0,899979.0
fixed_v,1000,499500,0.1706369210336561,0.14691467933274302,2505714.0,1010257.0
